A Coruña، Spain;A Coruña Airport;LCG
Aalborg، Kingdom of Denmark;Aalborg Airport;AAL
Aarhus، Kingdom of Denmark;Aarhus Airport;AAR
Abadan، Iran;Abadan International Airport;ABD
Abakan، Russia;Abakan International Airport;ABA
Abbotsford، Canada;Abbotsford International Airport;YXX
Aberdeen (Scotland)، Northern Ireland, Scotland and Wales;Aberdeen Airport;ABZ
Abha، Saudi Arabia;Abha International Airport;AHB
Abidjan, Ivory Coast;Félix-Houphouët-Boigny International Airport;ABJ
Abu Dhabi، United Arab Emirates;Abu Dhabi International Airport;AUH
Abuja, Nigeria;Nnamdi Azikiwe International Airport;ABV
Acapulco، Mexico;Acapulco International Airport;ACA
Accra, Ghana;Accra International Airport;ACC
Adana، Turkey;Şakirpaşa Airport;ADA
Addis Ababa, Ethiopia;Addis Ababa Bole International Airport;ADD
Addu City، Maldives;Gan International Airport;GAN
Adelaide، Australia;Adelaide Airport;ADL
Aden، Yemen;Aden International Airport;ADE
Agadir, Morocco;Agadir–Al Massira Airport;AGA
Agartala، India;Maharaja Bir Bikram Airport;IXA
Aguadilla, Puerto Rico;Rafael Hernández International Airport;BQN
Aguascalientes، Mexico;Aguascalientes International Airport;AGU
Ahmedabad، India;Sardar Vallabhbhai Patel International Airport;AMD
Ahvaz، Iran;Ahvaz International Airport;AWZ
Ajaccio، France;Ajaccio Napoleon Bonaparte Airport;AJA
Akita، Japan;Akita Airport;AXT
Akron، United States;Akron Executive Airport;AKC
Aktau، Kazakhstan;Aktau Airport;SCO
Aktobe، Kazakhstan;Aktobe International Airport;AKX
Akureyri، Iceland;Akureyri Airport;AEY
Al Ain، United Arab Emirates;Al Ain International Airport;AAN
Al Najaf، Iraq;Al Najaf International Airport;NJF
Al-Ahsa، Saudi Arabia;Al-Ahsa International Airport;HOF
Åland، Finland;Mariehamn Airport;MHQ
Alanya، Turkey;Gazipaşa Airport;GZP
Albany، United States;Albany International Airport;ALB
Albuquerque، United States;Albuquerque International Sunport;ABQ
Alderney (Bailiwick of Guernsey)، Crown Dependencies;Alderney Airport;ACI
Aleppo، Syria;Aleppo International Airport;ALP
Ålesund، Norway;Ålesund Airport;AES
Alexandria, Egypt;Alexandria International Airport;HBE
Alghero، Italy;Fertilia Airport;AHO
Algiers, Algeria;Houari Boumediene Airport;ALG
Alicante، Spain;Alicante–Elche Miguel Hernández Airport;ALC
Al-Jawf، Saudi Arabia;Al Jawf International Airport;AJF
Almaty، Kazakhstan;Almaty International Airport;ALA
Almería، Spain;Almería Airport;LEI
Alofi، Niue;Niue International Airport;IUE
Alor Setar، Malaysia;Sultan Abdul Halim Airport;AOR
Al-Ula، Saudi Arabia;Al-Ula International Airport;ULH
Amarillo، United States;Rick Husband Amarillo International Airport;AMA
Ambon، Indonesia;Pattimura International Airport;AMQ
Amman، Jordan;Queen Alia International Airport;AMM
Amritsar، India;Sri Guru Ram Das Ji International Airport;ATQ
Amsterdam، Netherlands;Amsterdam Airport;AMS
Anadyr، Russia;Ugolny Airport;DYR
Anapa، Russia;Anapa Airport;AAQ
Anchorage، United States;Anchorage International Airport;ANC
Ancona، Italy;Ancona Airport;AOI
Andijan، Uzbekistan;Andizhan Airport;AZN
Angeles City، Philippines;Clark International Airport;CRK
Ankara، Turkey;Esenboğa International Airport;ESB
Annaba, Algeria;Rabah Bitat Airport;AAE
Antalya، Turkey;Antalya Airport;AYT
Antananarivo, Madagascar;Ivato International Airport;TNR
Antofagasta، Chile;Andrés Sabella Gálvez International Airport;ANF
Antsiranana, Madagascar;Arrachart Airport;DIE
Antwerp، Belgium;Antwerp International Airport;ANR
Aomori، Japan;Aomori Airport;AOJ
Apia، Samoa;Faleolo International Airport;APW
Appleton، United States;Appleton International Airport;ATW
Aqaba، Jordan;King Hussein International Airport;AQJ
Aracaju، Brazil;Santa Maria Airport;AJU
Arad، Romania;Arad International Airport;ARW
Arak، Iran;Arak International Airport;AJK
Ardabil، Iran;Ardabil Airport;ADU
Arequipa، Peru;Rodríguez Ballón International Airport;AQP
Arkhangelsk، Russia;Talagi Airport;ARH
Armenia، Colombia;El Edén International Airport;AXM
Arua, Uganda;Arua Airport;RUA
Arusha, Tanzania;Arusha Airport;ARK
Asaba, Delta, Nigeria;Asaba International Airport;ABB
Asaluyeh، Iran;Persian Gulf Airport;PGU
Ashgabat، Turkmenistan;Ashgabat Airport;ASB
Asmara, Eritrea;Asmara International Airport;ASM
Astana، Kazakhstan;Nursultan Nazarbayev International Airport;NQZ
Astrakhan، Russia;Narimanovo Airport;ASF
Asturias، Spain;Asturias Airport;OVD
Asunción، Paraguay;Silvio Pettirossi International Airport;ASU
Aswan, Egypt;Aswan International Airport;ASW
Asyut, Egypt;Assiut Airport;ATZ
Atar, Mauritania;Atar International Airport;ATR
Athens، Greece;Athens International Airport;ATH
Atlanta، United States;Hartsfield–Jackson Atlanta International Airport;ATL
Atlantic City، United States;Atlantic City International Airport;ACY
Atyrau، Kazakhstan;Atyrau Airport;GUW
Auckland، New Zealand;Auckland Airport;AKL
Austin (TX)، United States;Austin–Bergstrom International Airport;AUS
Avarua، Cook Islands;Rarotonga Airport;RAR
Ayodhya، India;Maharishi Valmiki International Airport, Ayodhya Dham;AYJ
Bacau، Romania;George Enescu International Airport;BCM
Baden-Baden/Karlsruhe، Germany;Karlsruhe/Baden-Baden Airport;FKB
Baghdad، Iraq;Baghdad International Airport;BGW
Bahawalpur، Pakistan;Bahawalpur Airport;BHV
Baia Mare، Romania;Maramureș Airport;BAY
Baku، Azerbaijan;Heydar Aliyev International Airport;GYD
Balikpapan، Indonesia;Sultan Aji Muhammad Sulaiman Sepinggan International Airport;BPN
Baltimore، United States;Baltimore/Washington International Airport;BWI
Bamako, Mali;Modibo Keita International Airport;BKO
Banda Aceh، Indonesia;Sultan Iskandar Muda International Airport;BTJ
Bandar Abbas، Iran;Bandar Abbas International Airport;BND
Bandar Lampung، Indonesia;Radin Inten II International Airport;TKG
Bandar Seri Begawan، Brunei;Brunei International Airport;BWN
Bandung، Indonesia;Kertajati International Airport;KJT
Bangkok، Thailand;Suvarnabhumi Airport;BKK
Bangor، United States;Bangor International Airport;BGR
Bangui, Central African Republic;Bangui M'Poko International Airport;BGF
Banja Luka، Bosnia and Herzegovina;Banja Luka International Airport;BNX
Banjarmasin، Indonesia;Syamsudin Noor International Airport;BDJ
Banjul, The Gambia;Banjul International Airport;BJL
Baotou، China;Baotou Donghe international Airport;BAV
Barahona, Dominican Republic;María Montez International Airport;BRX
Barcelona، Spain;Josep Tarradellas Barcelona–El Prat Airport;BCN
Bari، Italy;Palese Airport;BRI
Bariloche، Argentina;San Carlos de Bariloche Airport;BRC
Barishal، Bangladesh;Barisal Airport;BZL
Barnaul، Russia;Barnaul Airport;BAX
Barranquilla، Colombia;Ernesto Cortissoz International Airport;BAQ
Barrie (Oro-Medonte)، Canada;Lake Simcoe Regional Airport;YLK
Basel، Switzerland;EuroAirport Basel Mulhouse Freiburg;BSL/MLH/EAP
Basra، Iraq;Basra International Airport;BSR
Basseterre, Saint Kitts and Nevis;Robert L. Bradshaw International Airport;SKB
Bastia، France;Poretta Airport;BIA
Batam، Indonesia;Hang Nadim International Airport;BTH
Batna, Algeria;Batna Airport;BLJ
Batticaloa، Sri Lanka;Batticaloa International Airport;BTC
Batumi، Georgia;Batumi International Airport;BUS
Baudette، United States;Baudette International Airport;BDE
Beauvais، France;Beauvais–Tillé Airport;BVA
Beihai، China;Beihai Fucheng Airport;BHY
Beijing، China;Beijing Capital International Airport;PEK
Beira, Mozambique;Beira Airport;BEW
Beirut، Lebanon;Beirut–Rafic Hariri International Airport;BEY
Beja، Portugal;Beja Airport;BYJ
Béjaïa, Algeria;Soummam Airport;BJA
Belém، Brazil;Val de Cães International Airport;BEL
Belfast (Northern Ireland)، Northern Ireland, Scotland and Wales;Belfast International Airport;BFS
Belgorod، Russia;Belgorod International Airport;EGO
Belgrade، Serbia;Belgrade Nikola Tesla Airport;BEG
Belize City، Belize;Philip S. W. Goldson International Airport;BZE
Bellingham، United States;Bellingham International Airport;BLI
Belo Horizonte، Brazil;Tancredo Neves International Airport;CNF
Bengaluru، India;Kempegowda International Airport;BLR
Benghazi, Libya;Benina International Airport;BEN
Beni Mellal, Morocco;Beni Mellal Airport;BEM
Bergamo، Italy;Orio al Serio Airport;BGY
Bergen، Norway;Bergen Airport;BGO
Bergerac، France;Bergerac Dordogne Périgord Airport;EGC
Berlin، Germany;Berlin Brandenburg Airport;BER
Bern، Switzerland;Bern Airport;BRN
Béziers، France;Béziers Cap d'Agde Airport;BZR
Bhopal، India;Raja Bhoj Airport;BHO
Bhubaneswar، India;Biju Patnaik International Airport;BBI
Biarritz، France;Biarritz Pays Basque Airport;BIQ
Bilbao، Spain;Bilbao Airport;BIO
Billund، Kingdom of Denmark;Billund Airport;BLL
Birmingham، England;Birmingham Airport;BHX
Birmingham، United States;Birmingham–Shuttlesworth International Airport;BHM
Birجand، Iran;Birjand International Airport;XBJ
Bishkek، Kyrgyzstan;Manas International Airport;FRU
Bissau, Guinea-Bissau;Osvaldo Vieira International Airport;OXB
Blagoveshchensk، Russia;Ignatyevo Airport;BQS
Blantyre, Malawi;Chileka International Airport;BLZ
Bloemfontein, South Africa;Bram Fischer International Airport;BFN
Blue Hills، Turks and Caicos Islands;Providenciales Airport;PLS
Bluefields، Nicaragua;Bluefields Airport;BEF
Boa Vista, Cape Verde;Aristides Pereira International Airport;BVC
Boa Vista، Brazil;Boa Vista International Airport;BVB
Bobo-Dioulasso, Burkina Faso;Bobo Dioulasso Airport;BOY
Bocas del Toro، Panama;Bocas del Toro Isla Colón International Airport;BOC
Bodø، Norway;Bodø Airport;BOO
Bodrum، Turkey;Milas–Bodrum Airport;BJV
Bogotá، Colombia;El Dorado International Airport;BOG
Boise، United States;Boise Airport;BOI
Bokeo (Tonpheung district)، Laos;Bokeo International Airport;BOR
Bokhtar، Tajikistan;Bokhtar International Airport;KQT
Bologna، Italy;Bologna Airport;BLQ
Bordeaux، France;Bordeaux–Mérignac Airport;BOD
Bosaso, Somalia;Bosaso Airport;BSA
Boston، United States;Logan International Airport;BOS
Bournemouth، England;Bournemouth Airport;BOH
Brač، Croatia;Brač Airport;BWK
Brades, Montserrat;John A. Osborne Airport;MNI
Brasília، Brazil;Brasília International Airport;BSB
Brașov، Romania;Brașov-Ghimbav International Airport;GHV
Bratislava، Slovakia;Bratislava Airport;BTS
Bratsk، Russia;Bratsk Airport;BTK
Brazzaville, Republic of the Congo;Maya-Maya Airport;BZV
Bremen، Germany;Bremen Airport;BRE
Brescia، Italy;Brescia Airport;VBS
Brest، France;Brest Bretagne Airport;BES
Bridgetown, Barbados;Grantley Adams International Airport;BGI
Brindisi، Italy;Brindisi Airport;BDS
Brisbane، Australia;Brisbane Airport;BNE
Bristol، England;Bristol Airport;BRS
Brno، Czech Republic;Brno–Tuřany Airport;BRQ
Broome، Australia;Broome International Airport;BME
Brownsville، United States;Brownsville/South Padre Island International Airport;BRO
Brussels، Belgium;Brussels Airport;BRU
Bryansk، Russia;Bryansk International Airport;BZK
Bucaramanga، Colombia;Palonegro International Airport;BGA
Bucharest، Romania;Henri Coandă International Airport;OTP
Budapest، Hungary;Budapest Ferenc Liszt International Airport;BUD
Buenaventura، Colombia;Gerardo Tobar López Airport;BUN
Buenos Aires، Argentina;Ministro Pistarini International Airport;EZE
Buffalo، United States;Buffalo Niagara International Airport;BUF
Bujumbura, Burundi;Bujumbura International Airport;BJM
Bukhara، Uzbekistan;Bukhara International Airport;BHK
Bulawayo, Zimbabwe;Joshua Mqabuko Nkomo International Airport;BUQ
Buraydah، Saudi Arabia;Prince Naif bin Abdulaziz International Airport;ELQ
Burgas، Bulgaria;Burgas Airport;BOJ
Burnt Pine، Norfolk Island;Norfolk Island Airport;NLK
Bursa، Turkey;Yenişehir Airport;YEI
Busan، South Korea;Gimhae International Airport;PUS
Bushehr، Iran;Bushehr Airport;BUZ
Bydgoszcz، Poland;Bydgoszcz Ignacy Jan Paderewski Airport;BZG
Cagayan، Philippines;Cagayan North International Airport;LLC
Cagliari، Italy;Cagliari Airport;CAG
Cairns، Australia;Cairns Airport;CNS
Cairo, Egypt;Cairo International Airport;CAI
Cairo, Egypt;Sphinx International Airport;SPX
Calabar, Nigeria;Margaret Ekpo International Airport;CBQ
Calexico، United States;Calexico International Airport;CXL
Calgary، Canada;Calgary International Airport;YYC
Cali، Colombia;Alfonso Bonilla Aragón International Airport;CLO
Camagüey, Cuba;Ignacio Agramonte International Airport;CMW
Campinas، Brazil;Viracopos International Airport;VCP
Campo Grande، Brazil;Campo Grande International Airport;CGR
Cần Thơ، Vietnam;Can Tho International Airport;VCA
Canberra، Australia;Canberra Airport;CBR
Cancún، Mexico;Cancún International Airport;CUN
Canouan, Canouan;Canouan Airport;CIW
Cape Town, South Africa;Cape Town International Airport;CPT
Cap-Haïtien, Haiti;Cap-Haïtien International Airport;CAP
Caracas، Venezuela;Simón Bolívar International Airport;CCS
Carcassonne، France;Carcassonne Airport;CCF
Cardiff (Wales)، Northern Ireland, Scotland and Wales;Cardiff Airport;CWL
Cartagena، Colombia;Rafael Núñez International Airport;CTG
Casablanca, Morocco;Mohammed V International Airport;CMN
Castellón de la Plana، Spain;Castellón–Costa Azahar Airport;CDT
Catania، Italy;Fontanarossa Airport;CTA
Catumbela, Angola;Catumbela Airport;CBT
Cayenne، French Guiana;Cayenne – Félix Eboué Airport;CAY
Cayman Brac, Cayman Islands;Charles Kirkconnell International Airport;CYB
Cayo Coco, Cuba;Jardines del Rey Airport;CCC
Cayo Largo del Sur, Cuba;Vilo Acuña Airport;CYO
Cephalonia، Greece;Kefalonia Island International Airport;EFL
České Budějovice، Czech Republic;České Budějovice Airport;JCL
Châlons-en-Champagne، France;Châlons Vatry Airport;XCR
Chambéry، France;Chambéry Airport;CMF
Changchun، China;Changchun Longjia International Airport;CGQ
Changsha، China;Changsha Huanghua International Airport;CSX
Changzhou، China;Changzhou Benniu International Airport;CZX
Chania، Greece;Chania International Airport;CHQ
Charleroi، Belgium;Brussels South Charleroi Airport;CRL
Charleston (SC)، United States;Charleston International Airport;CHS
Charlotte Amalie، U.S. Virgin Islands;Cyril E. King Airport;STT
Charlotte، United States;Charlotte Douglas International Airport;CLT
Charlottetown، Canada;Charlottetown Airport;YYG
Cheboksary، Russia;Cheboksary International Airport;CSY
Chek Lap Kok، Hong Kong;Hong Kong International Airport;HKG
Chelyabinsk، Russia;Chelyabinsk Airport;CEK
Chengdu، China;Chengdu Shuangliu International Airport;CTU
Chennai، India;Chennai International Airport;MAA
Cheongju، South Korea;Cheongju International Airport;CJJ
Cherepovets، Russia;Cherepovets Airport;CEE
Chernivtsi، Ukraine;Chernivtsi International Airport;CWC
Chiang Mai، Thailand;Chiang Mai International Airport;CNX
Chiang Rai، Thailand;Chiang Rai International Airport;CEI
Chicago، United States;Midway International Airport;MDW
Chiclayo، Peru;José Quiñones González International Airport;CIX
Chihuahua، Mexico;Chihuahua International Airport;CUU
Chios، Greece;Chios Island National Airport;JKH
Chişinău، Moldova;Chișinău International Airport;RMO
Chita، Russia;Chita-Kadala International Airport;HTA
Chittagong، Bangladesh;Shah Amanat International Airport;CGP
Chlef, Algeria;Chlef International Airport;CFK
Chongqing، China;Chongqing Jiangbei International Airport;CKG
Christchurch، New Zealand;Christchurch Airport;CHC
Christiansted، U.S. Virgin Islands;Henry E. Rohlsen Airport;STX
Chub Cay, The Bahamas;Chub Cay International Airport;CCZ
Chuuk، Federated States of Micronesia;Chuuk International Airport;TKK
Cienfuegos, Cuba;Jaime González Airport;CFG
Cincinnati (OH) (Hebron)، United States;Cincinnati/Northern Kentucky International Airport;CVG
Ciudad del Carmen، Mexico;Ciudad del Carmen International Airport;CME
Ciudad del Este، Paraguay;Guaraní International Airport;AGT
Cleveland، United States;Cleveland Hopkins International Airport;CLE
Cluj-Napoca، Romania;Cluj-Napoca International Airport;CLJ
Cochabamba، Bolivia;Jorge Wilstermann International Airport;CBB
Cocos (Keeling) Islands، Cocos (Keeling) Islands;Cocos (Keeling) Islands Airport;CCK
Coimbatore، India;Coimbatore International Airport;CJB
Cologne/Bonn، Germany;Cologne/Bonn Airport;CGN
Colombo، Sri Lanka;Bandaranaike International Airport;CMB
Columbia (SC)، United States;Columbia Metropolitan Airport;CAE
Columbus (OH)، United States;John Glenn Columbus International Airport;CMH
Comayagua، Honduras;Comayagua International Airport;XPL
Comodoro Rivadavia، Argentina;General Enrique Mosconi International Airport;CRD
Conakry, Guinea;Conakry International Airport;CKY
Concepción، Chile;Carriel Sur International Airport;CCP
Constanța، Romania;Mihail Kogălniceanu International Airport;CND
Constantine, Algeria;Mohamed Boudiaf International Airport;CZL
Copenhagen، Kingdom of Denmark;Copenhagen Airport;CPH
Córdoba، Argentina;Ingeniero Aeronأutico Ambrosio L.V. Taravella International Airport;COR
Corfu، Greece;Corfu International Airport;CFU
Cork، Ireland;Cork Airport;ORK
Corn Island، Nicaragua;Corn Island Airport;RNI
Corpus Christi، United States;Corpus Christi International Airport;CRP
Corrientes، Argentina;Doctor Fernando Piragine Niveyro International Airport;CNQ
Cotonou, Benin;Cadjehoun Airport;COO
Cox's Bazar، Bangladesh;Cox's Bazar International Airport;CXB
Cozumel، Mexico;Cozumel International Airport;CZM
